RegionName,CountryName,State,City,PostalCode,WarehouseAddress,WarehouseName,EmployeeName,EmployeeEmail,EmployeePhone,EmployeeHireDate,EmployeeJobTitle,CategoryName,ProductName,ProductDescription,ProductStandardCost,Profit,ProductListPrice,CustomerName,CustomerAddress,CustomerCreditLimit,CustomerEmail,CustomerPhone,Status,OrderDate,OrderItemQuantity,PerUnitPrice,TotalItemQuantity
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Summer Payne,summer.payne@example.com,5151238181,07-Jun-16,Public Accountant,CPU,Intel Xeon E5-2699 V3 (OEM/Tray),"Speed:2.3GHz,Cores:18,TDP:145W",2867.51,542.95,3410.46,Flor Stone,2904 S Salina St,5000.0,flor.stone@raytheon.com,13171234104,Shipped,17-Nov-16,132,469.99,122
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Rose Stephens,rose.stephens@example.com,5151238080,07-Jun-16,Accounting Manager,CPU,Intel Xeon E5-2697 V3,"Speed:2.6GHz,Cores:14",2326.27,448.71,2774.98,Lavera Emerson,"5344 Haverford Ave, Philadelphia",5000.0,lavera.emerson@plainsallamerican.com,13171234111,Shipped,20-Feb-17,124,519.99,123
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Annabelle Dunn,annabelle.dunn@example.com,5151234444,17-Sep-16,Administration Assistant,CPU,Intel Xeon E5-2698 V3 (OEM/Tray),Speed:2.3GHz,2035.18,625.54,2660.72,Fern Head,"1795 Wu Meng, Muang Chonburi",1200.0,fern.head@usfoods.com,18121234115,Canceled,03-Jan-17,92,800.74,123
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Tommy Bailey,tommy.bailey@example.com,5151234567,17-Jun-16,President,CPU,Intel Xeon E5-2697 V4,"Cores:18,TDP:145W",2144.4,410.59,2554.99,Shyla Ortiz,"Walpurgisstr 69, Munich",2400.0,shyla.ortiz@abbvie.com,13171234126,Pending,15-Oct-17,128,849.99,124
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Blake Cooper,blake.cooper@example.com,5151234569,13-Jan-16,Administration Vice President,CPU,Intel Xeon E5-2685 V3 (OEM/Tray),"Speed:2.6GHz,Cores:12",2012.11,489.58,2501.69,Jeni Levy,"Via Frenzy 6903, Roma",1200.0,jeni.levy@centene.com,18121214129,Shipped,09-Apr-17,106,109.99,125
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Jude Rivera,jude.rivera@example.com,5151234568,21-Sep-16,Administration Vice President,CPU,Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14",1925.13,506.82,2431.95,Matthias Hannah,"Via Luminosa 162, Firenze",500.0,matthias.hannah@chs.net,12887910191,Shipped,15-Aug-17,148,549.59,125
South America,United States of America,Texas,Southlake,26192,,Southlake Texas,Tyler Ramirez,tyler.ramirez@example.com,5151244269,28-Sep-16,Accountant,CPU,Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,275.5,2377.09,Matthias Cruise,"Via Notoriosa 1942, Firenze",500.0,matthias.cruise@alcoa.com,16278191010,Canceled,01-Dec-16,127,659.99,126
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Ryan Gray,ryan.gray@example.com,5151244169,16-Aug-16,Accountant,CPU,Intel Xeon E5-2695 V4,"Speed:2.1GHz,Cores:18,TDP:120W",1780.35,489.64,2269.99,Meenakshi Mason,"1831 No Wong, Peking",3600.0,meenakshi.mason@internationalpaper.com,15652788999,Shipped,09-Apr-15,138,54.99,149
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Elliot Brooks,elliot.brooks@example.com,5151244567,07-Dec-16,Accountant,CPU,Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,466.46,2259.99,Christian Cage,"Via Notoriosa 1949, Firenze",2400.0,christian.cage@emerson.com,12334165678,Canceled,11-May-17,117,798.26,150
South America,United States of America,Texas,Southlake,26192,2014 Jabberwocky Rd,Southlake Texas,Elliott James,elliott.james@example.com,5151244369,30-Sep-16,Accountant,CPU,Intel Xeon E5-2643 V2 (OEM/Tray),"Speed:3.5GHz,Cores:6",1940.18,259.82,2200.0,Charlie Sutherland,"Piazza Cacchiatore 23, San Giminiano",3600.0,charlie.sutherland@up.com,17887873099,Pending,03-Dec-16,34,279.99,150
